variable,u_statistic,p_value,rank_biserial_r,effect_size_r,male_median,female_median,male_mean,female_mean,male_n,female_n,significant,p_corrected_bh,p_corrected_bonf,effect_interpretation,significant_bh,significant_bonf,hypothesis
ttr,3131.5,0.005158284789037738,-0.2745217745217745,0.23555985181332606,0.8070175438596491,0.740203373015873,0.7948238729328634,0.7142626663573168,63,78,True,0.007971894673967413,0.08769084141364154,small,True,False,A: Lexical/Interpersonal
emo_anger,1793.0,0.00044049399016702555,0.27024827024827025,0.2318928711698273,0.0,0.0,0.19047619047619047,0.41025641025641024,63,78,True,0.0014976795665678868,0.0074883978328394345,small,True,True,A: Lexical/Interpersonal
emo_anticipation,1500.0,4.739151036000333e-05,0.38949938949938945,0.3342190929360312,1.0,2.0,1.2857142857142858,3.576923076923077,63,78,True,0.0004028278380600283,0.0008056556761200566,medium,True,True,A: Lexical/Interpersonal
emo_disgust,2026.5,0.015908219080156476,0.17521367521367526,0.15034620638344978,0.0,0.0,0.1746031746031746,0.44871794871794873,63,78,True,0.020803055720204622,0.2704397243626601,small,True,False,A: Lexical/Interpersonal
emo_fear,1822.0,0.0016189741276553345,0.25844525844525845,0.22176501986873542,0.0,0.0,0.30158730158730157,0.9102564102564102,63,78,True,0.003058062241126743,0.027522560170140684,small,True,True,A: Lexical/Interpersonal
emo_joy,1569.5,0.00015993663759404425,0.3612128612128612,0.3099471734385869,1.0,2.0,1.2063492063492063,3.4743589743589745,63,78,True,0.000679730709774688,0.002718922839098752,medium,True,True,A: Lexical/Interpersonal
emo_negative,1686.5,0.0005466959133546386,0.31359381359381355,0.26908653198245774,0.0,1.0,0.5714285714285714,1.3846153846153846,63,78,True,0.0015489717545048094,0.009293830527028856,small,True,True,A: Lexical/Interpersonal
emo_positive,1701.0,0.001594292937876706,0.3076923076923077,0.26402260633191177,2.0,4.0,2.7936507936507935,7.897435897435898,63,78,True,0.003058062241126743,0.027102979943904003,small,True,True,A: Lexical/Interpersonal
emo_sadness,1905.0,0.00800410217220346,0.22466422466422464,0.19277841097250703,0.0,0.0,0.3492063492063492,1.0512820512820513,63,78,True,0.011339144743954904,0.13606973692745883,small,True,False,A: Lexical/Interpersonal
emo_surprise,1837.5,0.0044627409901349556,0.25213675213675213,0.2163518579664277,0.0,1.0,0.5396825396825397,1.9487179487179487,63,78,True,0.007586659683229424,0.07586659683229424,small,True,False,A: Lexical/Interpersonal
emo_trust,1922.5,0.024443958470902537,0.21754171754171758,0.18666677656667574,1.0,2.0,1.8253968253968254,2.641025641025641,63,78,True,0.02770315293368954,0.4155472940053431,small,True,False,A: Lexical/Interpersonal
pron_first,1898.0,0.020109793796998808,0.22751322751322756,0.19522306473483952,0.047244094488188976,0.09375,0.05526043611295679,0.07418779819476096,63,78,True,0.024419035324927122,0.3418664945489797,small,True,False,A: Lexical/Interpersonal
pron_second,2635.0,0.276419796759078,-0.07244607244607248,0.062164052813598276,0.0,0.0,0.0056436967477391554,0.002678758818887117,63,78,False,0.276419796759078,1.0,negligible,False,False,A: Lexical/Interpersonal
pron_third,1555.5,0.0001256824709353713,0.36691086691086694,0.31483648096325195,0.0,0.03669724770642202,0.020305338383208135,0.03419406284203501,63,78,True,0.000679730709774688,0.002136602005901312,medium,True,True,A: Lexical/Interpersonal
phatic_expressions,2013.0,0.03241577340618658,0.18070818070818073,0.1550608957822339,0.0,1.0,0.4603174603174603,0.6410256410256411,63,78,True,0.03444175924407324,0.5510681479051719,small,True,False,A: Lexical/Interpersonal
opinion_score,1668.5,0.0010758908394350789,0.32091982091982096,0.2753727845141699,0.38518518518518524,0.5000927643784787,0.39009255756421285,0.47330719815746125,63,78,True,0.0026128777529137626,0.018290144270396342,small,True,True,A: Lexical/Interpersonal
sentiment,1266.0,7.837462026849763e-07,0.4847374847374848,0.41594037584828963,0.4588,0.9614,0.4320650793650793,0.7171897435897436,63,78,True,1.3323685445644596e-05,1.3323685445644596e-05,medium,True,True,A: Lexical/Interpersonal
sentence_count,1122.5,2.2465238861372602e-08,0.5431420431420431,0.4660557779761062,3.0,7.0,3.9523809523809526,8.923076923076923,63,78,True,4.4930477722745205e-08,4.4930477722745205e-08,medium,True,True,B: Sentence Structure
sentence_length,3153.0,0.0038998129806308733,-0.2832722832722834,0.2430684312262045,12.11111111111111,10.571428571428571,14.630802354611877,10.732463192078574,63,78,True,0.0038998129806308733,0.0077996259612617466,small,True,True,B: Sentence Structure
iteration_count,3023.5,0.013650028820365716,-0.2305657305657305,0.19784233662305295,2.0,1.0,2.7301587301587302,2.08974358974359,63,78,True,0.013650028820365716,0.013650028820365716,small,True,True,D: Iterative Behavior
