id,started_at,ended_at,ai_tool,participant_id,task_id
1,2025-08-11T16:43:46.321746+00:00,2025-08-11T16:43:46.588334+00:00,GPT-4o,1,1
2,2025-08-11T16:47:04.536261+00:00,,GPT-4o,1,2
4,2025-08-11T16:48:39.841189+00:00,,GPT-4o,1,3
5,2025-08-11T16:49:07.215491+00:00,,GPT-4o,1,3
3,2025-08-11T16:48:15.553518+00:00,2025-08-11T16:49:21.11072+00:00,GPT-4o,1,3
6,2025-08-11T16:50:11.782863+00:00,,GPT-4o,1,4
7,2025-08-11T16:50:36.305956+00:00,,GPT-4o,1,5
8,2025-08-11T16:52:36.757224+00:00,,GPT-4o,1,5
9,2025-08-11T16:53:30.133411+00:00,,GPT-4o,1,6
10,2025-08-11T16:53:55.898962+00:00,,GPT-4o,1,6
11,2025-08-11T17:13:46.696373+00:00,2025-08-11T17:14:11.641231+00:00,GPT-4o,3,1
12,2025-08-11T17:17:21.720342+00:00,2025-08-11T17:17:24.735624+00:00,GPT-4o,3,2
13,2025-08-11T17:18:36.741214+00:00,2025-08-11T17:19:13.305912+00:00,GPT-4o,3,3
14,2025-08-11T17:20:18.408154+00:00,2025-08-11T17:20:34.072652+00:00,GPT-4o,3,4
16,2025-08-11T17:38:31.799779+00:00,,GPT-4o,3,5
15,2025-08-11T17:22:40.158921+00:00,2025-08-11T17:38:55.136184+00:00,GPT-4o,3,5
18,2025-08-11T17:49:27.044423+00:00,,GPT-4o,3,6
17,2025-08-11T17:46:35.843182+00:00,2025-08-11T17:49:42.306377+00:00,GPT-4o,3,6
20,2025-08-11T17:51:12.959833+00:00,,GPT-4o,3,9
21,2025-08-11T17:51:41.428323+00:00,,GPT-4o,3,9
19,2025-08-11T17:50:33.285598+00:00,2025-08-11T17:51:44.055094+00:00,GPT-4o,3,9
23,2025-08-11T17:54:01.156952+00:00,,GPT-4o,3,10
24,2025-08-11T17:56:03.758816+00:00,,GPT-4o,3,10
22,2025-08-11T17:52:39.583551+00:00,2025-08-11T17:57:17.713725+00:00,GPT-4o,3,10
27,2025-08-11T18:08:39.109186+00:00,,GPT-4o,3,12
26,2025-08-11T18:07:23.989943+00:00,2025-08-11T18:08:45.811546+00:00,GPT-4o,3,12
28,2025-08-11T18:10:47.36286+00:00,2025-08-11T18:13:45.51455+00:00,GPT-4o,3,11
25,2025-08-11T17:59:37.755586+00:00,2025-08-11T18:13:52.091612+00:00,GPT-4o,3,13
29,2025-08-11T18:55:30.644079+00:00,2025-08-11T18:55:37.108947+00:00,GPT-4o,5,1
30,2025-08-11T18:56:26.101434+00:00,,GPT-4o,5,1
31,2025-08-11T18:57:33.66828+00:00,,GPT-4o,5,1
32,2025-08-11T19:01:23.262438+00:00,2025-08-11T19:01:27.650177+00:00,GPT-4o,5,2
34,2025-08-11T19:03:35.290532+00:00,,GPT-4o,5,3
35,2025-08-11T19:04:46.248435+00:00,,GPT-4o,5,3
33,2025-08-11T19:02:49.599701+00:00,2025-08-11T19:04:53.077941+00:00,GPT-4o,5,3
36,2025-08-11T19:05:55.684067+00:00,2025-08-11T19:06:03.713337+00:00,GPT-4o,5,4
37,2025-08-11T19:07:02.220103+00:00,2025-08-11T19:07:05.761442+00:00,GPT-4o,5,5
39,2025-08-11T19:09:07.160448+00:00,,GPT-4o,5,6
38,2025-08-11T19:08:28.361917+00:00,2025-08-11T19:09:14.840446+00:00,GPT-4o,5,6
41,2025-08-11T19:10:20.619077+00:00,,GPT-4o,5,9
40,2025-08-11T19:09:44.94634+00:00,2025-08-11T19:10:27.105208+00:00,GPT-4o,5,9
43,2025-08-11T19:11:13.906198+00:00,,GPT-4o,5,10
44,2025-08-11T19:11:40.302416+00:00,,GPT-4o,5,10
45,2025-08-11T19:11:54.600437+00:00,,GPT-4o,5,10
42,2025-08-11T19:10:51.038129+00:00,2025-08-11T19:11:56.288463+00:00,GPT-4o,5,10
46,2025-08-11T19:12:45.957679+00:00,2025-08-11T19:12:48.485116+00:00,GPT-4o,5,11
47,2025-08-11T19:14:02.206602+00:00,2025-08-11T19:14:07.46598+00:00,GPT-4o,5,12
48,2025-08-11T19:15:22.866421+00:00,2025-08-11T19:15:24.167163+00:00,GPT-4o,5,13
49,2025-08-11T19:58:13.208659+00:00,2025-08-11T19:58:18.89888+00:00,GPT-4o,8,9
50,2025-08-11T20:03:12.905446+00:00,,GPT-4o,6,1
52,2025-08-11T20:06:22.767756+00:00,,GPT-4o,6,2
51,2025-08-11T20:05:26.891789+00:00,2025-08-11T20:06:37.4347+00:00,GPT-4o,6,2
53,2025-08-11T20:09:33.121157+00:00,,GPT-4o,11,1
54,2025-08-11T20:09:50.382925+00:00,2025-08-11T20:09:52.735396+00:00,GPT-4o,12,1
55,2025-08-11T20:10:33.936035+00:00,,GPT-4o,11,2
56,2025-08-11T20:11:13.292372+00:00,,GPT-4o,11,3
57,2025-08-11T20:11:19.137026+00:00,2025-08-11T20:11:33.269474+00:00,GPT-4o,10,1
58,2025-08-11T20:11:51.822862+00:00,,GPT-4o,11,4
59,2025-08-11T20:12:25.405148+00:00,,GPT-4o,11,5
60,2025-08-11T20:12:59.716109+00:00,,GPT-4o,11,6
61,2025-08-11T20:13:31.400859+00:00,,GPT-4o,11,9
62,2025-08-11T20:14:01.815606+00:00,,GPT-4o,11,10
63,2025-08-11T20:14:14.724098+00:00,,GPT-4o,11,11
64,2025-08-11T20:14:45.745549+00:00,,GPT-4o,11,12
65,2025-08-11T20:14:57.752721+00:00,2025-08-11T20:14:59.08604+00:00,GPT-4o,11,13
66,2025-08-11T20:19:37.493148+00:00,2025-08-11T20:19:37.546728+00:00,GPT-4o,13,1
67,2025-08-11T20:20:34.745504+00:00,,GPT-4o,13,1
68,2025-08-11T20:21:05.177701+00:00,2025-08-11T20:21:06.483372+00:00,GPT-4o,14,1
69,2025-08-11T20:21:20.810896+00:00,,GPT-4o,13,1
70,2025-08-11T20:21:59.751123+00:00,,GPT-4o,13,1
71,2025-08-11T20:22:01.495796+00:00,,GPT-4o,14,2
72,2025-08-11T20:22:22.849552+00:00,,GPT-4o,13,1
74,2025-08-11T20:34:26.213732+00:00,,GPT-4o,16,1
75,2025-08-11T20:34:51.815468+00:00,,GPT-4o,16,1
76,2025-08-11T20:35:28.51358+00:00,,GPT-4o,16,1
73,2025-08-11T20:32:27.760198+00:00,2025-08-11T20:35:28.702928+00:00,GPT-4o,16,1
77,2025-08-11T21:02:46.000794+00:00,,GPT-4o,17,1
78,2025-08-11T21:04:34.491557+00:00,,GPT-4o,17,1
79,2025-08-11T21:05:57.349655+00:00,,GPT-4o,17,2
80,2025-08-11T21:06:59.800788+00:00,,GPT-4o,17,4
81,2025-08-11T21:07:16.762716+00:00,,GPT-4o,17,4
82,2025-08-11T21:07:51.543228+00:00,,GPT-4o,17,4
83,2025-08-11T21:13:48.363652+00:00,,GPT-4o,17,3
